name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Ponders Hollow Custom Wood Flooring and Millwork,5.0,24,Millwork shop,"16 Ponders Hollow Rd, Westfield, MA 01085",N/A,N/A,pondershollow.com,"4753+JG Westfield, Massachusetts",(413) 562-8730
Wagner Rug & Flooring,4.8,49,Flooring store,"302 E Main St, Westfield, MA 01085",N/A,N/A,wagnerrug.com,"477F+MM Westfield, Massachusetts",(413) 568-0520
Wagner Rug & Flooring,4.8,49,Flooring store,"302 E Main St, Westfield, MA 01085",N/A,N/A,wagnerrug.com,"477F+MM Westfield, Massachusetts",(413) 568-0520
Spears Hardwood Flooring,5.0,N/A,Flooring contractor,"25 High St, South Hadley, MA 01075",N/A,N/A,N/A,"698X+GJ South Hadley, Massachusetts",(413) 777-7473
King Brothers Decorating Center,5.0,9,Carpet store,"615 College Hwy, Southwick, MA 01077",N/A,N/A,shawfloors.com,"367P+G3 Southwick, Massachusetts",(413) 569-3134
