name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Floor Coverings International of Cape Cod,4.9,169,Flooring store,"802 MacArthur Blvd Suite 201, Pocasset, MA 02559",N/A,N/A,floorcoveringsinternational.com,"MCQ5+7C Pocasset, Bourne, MA",(774) 205-3091
"Award Flooring, Inc",4.8,19,Carpet store,"270 Main St, Buzzards Bay, MA 02532",N/A,N/A,awardflooring.net,"QC22+44 Buzzards Bay, Bourne, MA",(508) 759-9222
KB Carpet & Tile,5.0,N/A,Flooring contractor,"405 Huttleston Ave, Fairhaven, MA 02719",N/A,N/A,N/A,"M42X+JG Fairhaven, Massachusetts",(508) 538-1062
LaCava Flooring,4.2,13,Flooring contractor,"22 Cromesett Rd, Wareham, MA 02571",N/A,N/A,N/A,"P7X8+42 Wareham, Massachusetts",(781) 724-6227
LaCava Flooring,4.2,13,Flooring contractor,"22 Cromesett Rd, Wareham, MA 02571",N/A,N/A,N/A,"P7X8+42 Wareham, Massachusetts",(781) 724-6227
Mcs Flooring,N/A,N/A,Flooring store,"14 Highland View Ave, Mattapoisett, MA 02739",N/A,N/A,N/A,"J5PW+RG Mattapoisett, Massachusetts",(508) 287-4999
Mcs Flooring,N/A,N/A,Flooring store,"14 Highland View Ave, Mattapoisett, MA 02739",N/A,N/A,N/A,"J5PW+RG Mattapoisett, Massachusetts",(508) 287-4999
Family flooring,4.0,4,Wood floor installation service,"40 Parker St, New Bedford, MA 02740",N/A,N/A,N/A,"J3V8+F8 New Bedford, Massachusetts",(774) 368-5089
Family flooring,4.0,4,Wood floor installation service,"40 Parker St, New Bedford, MA 02740",N/A,N/A,N/A,"J3V8+F8 New Bedford, Massachusetts",(774) 368-5089
Silva's Hardwood Floors,5.0,2,Wood floor refinishing service,"129 Wood St, New Bedford, MA 02745",N/A,N/A,N/A,"M3HH+8F New Bedford, Massachusetts",(508) 995-4902
Silva's Hardwood Floors,5.0,2,Wood floor refinishing service,"129 Wood St, New Bedford, MA 02745",N/A,N/A,N/A,"M3HH+8F New Bedford, Massachusetts",(508) 995-4902
A Plus Flooring Solutions,N/A,N/A,Home goods store,"24 Jonathan Bourne Dr, Pocasset, MA 02559",N/A,N/A,aplusflooringsolutions.com,"PC47+GG Pocasset, Bourne, MA",(508) 771-4290
Lowe's Home Improvement,4.0,914,Home improvement store,"2421 Cranberry Hwy #100, Wareham, MA 02571",N/A,N/A,lowes.com,"Q7F4+29 Wareham, Massachusetts",(774) 678-6000
Fabio Wood Flooring,N/A,N/A,Wood floor refinishing service,"113 County Rd, North Falmouth, MA 02556",N/A,N/A,fabiowoodflooring.com,"M92J+CP North Falmouth, Falmouth, MA",(774) 836-4342
Fabio Wood Flooring,N/A,N/A,Wood floor refinishing service,"113 County Rd, North Falmouth, MA 02556",N/A,N/A,fabiowoodflooring.com,"M92J+CP North Falmouth, Falmouth, MA",(774) 836-4342
Morency Floors,4.8,25,Flooring store,"1440 Purchase St, New Bedford, MA 02740",N/A,N/A,morencyflooring.com,"J3VC+XX New Bedford, Massachusetts",(508) 994-3111
