name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Hayden Roofing,5.0,80,Roofing contractor,"70 Prentiss St, Orange, MA 01364",N/A,N/A,haydenroofingco.com,"HMMW+8P Orange, Massachusetts",(978) 544-3140
Hawkins Roofing,5.0,3,Roofing contractor,"89 Crescent St, Greenfield, MA 01301",N/A,N/A,mitchellhawkins.com,"HCP5+PP Greenfield, Massachusetts",(413) 774-6834
Todd Boynton Roofing & Siding,3.0,8,Roofing contractor,"83 Silver St, Greenfield, MA 01301",N/A,N/A,N/A,"JC47+C9 Greenfield, Massachusetts",(413) 775-2775
Greenfield Roofing Pros,N/A,N/A,Contractor,"143 Oakland St, Greenfield, MA 01301",N/A,N/A,roofing-greenfieldma.com,"JC73+4X Greenfield, Massachusetts",(413) 887-3096
"JPR Attic Insulation & Roofing Services Co, MA",4.8,58,Insulation contractor,"64 Haywood St, Greenfield, MA 01301",N/A,N/A,N/A,"HCX6+M2 Greenfield, Massachusetts",(413) 277-7542
Barnes Rubber Roofing,4.0,N/A,Roofing contractor,"126 Prentiss St, Orange, MA 01364",N/A,N/A,N/A,"HMJW+MV Orange, Massachusetts",(978) 544-6703
L & R Roofing,N/A,N/A,Roofing contractor,"29 Alden St, Greenfield, MA 01301",N/A,N/A,N/A,"H9XV+Q4 Greenfield, Massachusetts",(413) 376-4252
Reade Roofing,N/A,N/A,Roofing contractor,"429 Deerfield St, Greenfield, MA 01301",N/A,N/A,N/A,N/A,(413) 885-4445
Vaughan Roofing Co,N/A,N/A,Roofing contractor,"144 Shelburne Rd, Greenfield, MA 01301",N/A,N/A,N/A,"H9PJ+M5 Greenfield, Massachusetts",(413) 772-1082
Hawkins Roofing,4.0,N/A,Roofing contractor,"15 Sunrise Ave, Deerfield, MA 01342",N/A,N/A,mitchellhawkins.com,"GC8M+93 Deerfield, Massachusetts",(413) 374-8161
C L Services Roofing Co,5.0,N/A,Roofing contractor,"Phillipston, MA 01331",N/A,N/A,N/A,"GVX8+FV Phillipston, Massachusetts",(978) 249-6393
