name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Bath Fitter,4.8,212,Bathroom remodeler,"25 Turnpike St, West Bridgewater, MA 02379",N/A,N/A,bathfitter.com,"2WXM+G9 West Bridgewater, Massachusetts",(774) 257-5837
Frank Webb Home - Bridgewater,5.0,N/A,Bathroom supply store,"500 Elm St, Bridgewater, MA 02324",N/A,N/A,frankwebb.com,"XXMG+5G Bridgewater, Massachusetts",(508) 638-1000
Duncan Kitchen & Bath,4.8,35,Kitchen remodeler,"239 Liberty St, Hanson, MA 02341",N/A,N/A,duncankitchenandbath.com,"34CF+3P Hanson, Massachusetts",(781) 293-1121
Brockton Bathroom Remodeling,1.0,N/A,Bathroom remodeler,"48 Lucy Ln, Brockton, MA 02301",N/A,N/A,N/A,"3X4G+G2 Brockton, Massachusetts",(508) 618-8850
Easton Kitchens & Baths,5.0,N/A,Cabinet store,"195 Washington St STE 2, North Easton, MA 02356",N/A,N/A,N/A,"3WG6+2M North Easton, Easton, MA",(508) 238-0780
Emond Brothers Design Center,4.8,13,Kitchen remodeler,"153 Broadway, Raynham, MA 02767",N/A,N/A,emonddesigncenter.com,"WWM9+Q4 Raynham, Massachusetts",(508) 824-6199
B. Watman Construction Inc,1.0,N/A,Bathroom remodeler,"34 Vernon St, Middleborough, MA 02346",N/A,N/A,N/A,"W276+G7 Middleborough, Massachusetts",(774) 766-2431
"Quinlan & Company, Inc. ~ Kitchen & Bath Works",4.9,11,Kitchen remodeler,"44 Pleasant St, West Bridgewater, MA 02379",N/A,N/A,quinlancompany.net,"2X63+75 West Bridgewater, Massachusetts",(508) 238-6528
South Shore Dream Bath,4.9,73,Bathroom remodeler,"199 Weymouth St #2, Rockland, MA 02370",N/A,N/A,southshoredreambath.com,"536R+83 Rockland, Massachusetts",(781) 733-5405
LCM Installations,N/A,N/A,Kitchen remodeler,"205 Warren Ave, Whitman, MA 02382",N/A,N/A,N/A,"33J3+QM Whitman, Massachusetts",(781) 447-0756
"WP Construction Inc | Remodeling of kitchens, bathrooms, interior spaces, exteriors, and additions.",3.0,2,Construction company,"64 Welsford St, Brockton, MA 02302",N/A,N/A,wpconstructioninc.com,"4X7Q+25 Brockton, Massachusetts",(781) 252-9796
CCL HomeScapes Design Center & Showroom,4.5,69,Cabinet store,"225 Groveland St, Abington, MA 02351",N/A,N/A,capecodlumber.com,"423Q+73 Abington, Massachusetts",(781) 878-0715
New Look Refinishing,4.9,127,Bathroom remodeler,"516 Bedford St, East Bridgewater, MA 02333",N/A,N/A,newlookrefinishing.com,"229R+P6 East Bridgewater, Massachusetts",(781) 767-1087
Bonney-Glenn Home Improvement Specialist LLC,4.9,8,Contractor,"616 Centre St, Brockton, MA 02302",N/A,N/A,N/A,"32P4+CF Brockton, Massachusetts",(508) 586-3218
Long Home Products,4.7,2453,Roofing contractor,"300 Myles Standish Blvd, Taunton, MA 02780",N/A,N/A,longhomeproducts.com,"XV36+HG Taunton, Massachusetts",(774) 551-1786
Boston Bathtub LLC,5.0,21,Contractor,"516 Bedford St, East Bridgewater, MA 02333",Located in: New Look Refinishing,N/A,bostontub.com,"229R+P6 East Bridgewater, Massachusetts",(617) 500-6674
"Snow and Jones, Inc.",4.0,4,Plumbing supply store,"86 Forest St, Brockton, MA 02302",N/A,N/A,snowandjones.com,"3X6R+PC Brockton, Massachusetts",(508) 583-2524
Improved Space LLC,4.6,9,Remodeler,"255 S Worcester St, Norton, MA 02766",N/A,N/A,improvedspace.com,"WQVX+3Q Norton, Massachusetts",(781) 897-1730
A & T Marble & Granite,2.7,11,Countertop store,"15 Turnpike St, West Bridgewater, MA 02379",N/A,N/A,atmarble.com,"2WXM+W7 West Bridgewater, Massachusetts",(508) 297-1894
Dotty Wyman Designs,5.0,N/A,Interior designer,"7 Quail Ln, North Easton, MA 02356",N/A,N/A,N/A,"3V98+V2 North Easton, Easton, MA",(508) 577-5482
RTB Handyman & Remodeling Services,5.0,5,Handyman/Handywoman/Handyperson,"71 Arrowhead Dr, Hanson, MA 02341",N/A,N/A,facebook.com,"34JQ+GJ Hanson, Massachusetts",(781) 831-2691
Juan Remodeling Inc,4.4,7,Flooring contractor,"122 French Ave, Brockton, MA 02301",N/A,N/A,N/A,"3X7H+HV Brockton, Massachusetts",(508) 408-7858
Cornerstone Tile & Marble,4.7,40,Tile store,"15 Plymouth Dr F, South Easton, MA 02375",N/A,N/A,cornerstonetileandmarble.net,"2WWC+QJ South Easton, Easton, MA",(508) 230-8453
Alex Construction - Home Remodeling- Bathroom & Kitchen Renovations,4.7,31,General contractor,"45 Dan Rd Suite 125, Canton, MA 02021",N/A,N/A,alexconstructionusa.com,"5V6P+5J Canton, Massachusetts",(617) 299-0531
