name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Bob Whipple Contracting,5.0,N/A,Siding contractor,"58 Washington Ave, North Adams, MA 01247",N/A,N/A,N/A,"MVVV+X6 North Adams, Massachusetts",(413) 664-9163
General Roofing Co,3.0,6,Roofing contractor,"489 Old State St, North Adams, MA 01247",N/A,N/A,N/A,"MVPQ+JG North Adams, Massachusetts",(413) 664-9415
C W Construction Co Inc,5.0,2,General contractor,"46 Howland Ave # 5, Adams, MA 01220",N/A,N/A,N/A,"JVWP+HV Adams, Massachusetts",(413) 743-1846
"Gutters & Siding, LLC",5.0,46,Siding contractor,"30 Spring St, Pittsfield, MA 01201",N/A,N/A,guttersnsiding.com,"FQ45+78 Pittsfield, Massachusetts",(413) 347-9002
C&R Contracting,3.0,6,Roofing contractor,"16 Fairgrounds Ave, North Adams, MA 01247",N/A,N/A,N/A,"MVXC+XV North Adams, Massachusetts",(413) 242-4248
C&R Contracting,3.0,6,Roofing contractor,"16 Fairgrounds Ave, North Adams, MA 01247",N/A,N/A,N/A,"MVXC+XV North Adams, Massachusetts",(413) 242-4248
B&B Micro Manufacturing,4.5,30,Custom home builder,"201 Howland Ave, Adams, MA 01220",N/A,N/A,bbtinyhouses.com,"MV4R+GM Adams, Massachusetts",(413) 776-7419
Neathawk Seamless Gutters,5.0,3,Gutter service,"610 N Hoosac Rd, Williamstown, MA 01267",N/A,N/A,neathawkseamlessgutters.com,"PR96+FV Williamstown, Massachusetts",(413) 281-2340
Neathawk Seamless Gutters,5.0,3,Gutter service,"610 N Hoosac Rd, Williamstown, MA 01267",N/A,N/A,neathawkseamlessgutters.com,"PR96+FV Williamstown, Massachusetts",(413) 281-2340
Jack Miller Contractors,3.7,3,Contractor,"63 Spring St, Williamstown, MA 01267",N/A,N/A,jackmillercontractors.com,"PQ6W+54 Williamstown, Massachusetts",(413) 884-6124
