name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Rock Solid Marble And Granite LLC,4.8,23,Countertop store,"1719 N Main St, Sheffield, MA 01257",N/A,N/A,rocksolidmarbleandgranite.com,"5J2M+WQ Sheffield, Massachusetts",(413) 229-9001
"New England Custom Countertops, Inc.",4.8,12,Countertop store,"Green Building Behind House, 7 S Maple St, Westfield, MA 01085",N/A,N/A,newenglandcustomcountertops.com,"467W+MG Westfield, Massachusetts",(413) 568-0100
"New England Custom Countertops, Inc.",4.8,12,Countertop store,"Green Building Behind House, 7 S Maple St, Westfield, MA 01085",N/A,N/A,newenglandcustomcountertops.com,"467W+MG Westfield, Massachusetts",(413) 568-0100
ES Countertops LLC,4.8,71,Granite supplier,"3 Century Way, West Springfield, MA 01089",N/A,N/A,escountertops.net,"3CX2+65 West Springfield, Massachusetts",(413) 732-8128
ES Countertops LLC,4.8,71,Granite supplier,"3 Century Way, West Springfield, MA 01089",N/A,N/A,escountertops.net,"3CX2+65 West Springfield, Massachusetts",(413) 732-8128
Berkshire Stone Works,1.0,N/A,Countertop store,"17 Keeler St, Pittsfield, MA 01201",N/A,N/A,N/A,"FQJ2+HX Pittsfield, Massachusetts",(413) 281-3955
Berkshire Stone Works,1.0,N/A,Countertop store,"17 Keeler St, Pittsfield, MA 01201",N/A,N/A,N/A,"FQJ2+HX Pittsfield, Massachusetts",(413) 281-3955
Williams Stone Co,3.7,3,Stone supplier,"1158 Lee Westfield Rd, East Otis, MA 01029",N/A,N/A,williamsstone.com,"6WMJ+C5 East Otis, Otis, MA",(413) 269-4544
Williams Stone Co,3.7,3,Stone supplier,"1158 Lee Westfield Rd, East Otis, MA 01029",N/A,N/A,williamsstone.com,"6WMJ+C5 East Otis, Otis, MA",(413) 269-4544
Berkshire Home Services,N/A,N/A,Kitchen remodeler,"77 Sitting Bull Dr, Becket, MA 01223",N/A,N/A,N/A,"6XX3+W4 Becket, Massachusetts",(413) 623-4483
Berkshire Home Services,N/A,N/A,Kitchen remodeler,"77 Sitting Bull Dr, Becket, MA 01223",N/A,N/A,N/A,"6XX3+W4 Becket, Massachusetts",(413) 623-4483
LP CUSTOM COUNTERTOPS & CABINETRY,4.8,48,Countertop store,"22 S Main St, Mansfield, MA 02048",N/A,N/A,lpcustomcountertops.com,"2QFM+HM Mansfield, Massachusetts",(774) 643-6293
LP CUSTOM COUNTERTOPS & CABINETRY,4.8,48,Countertop store,"22 S Main St, Mansfield, MA 02048",N/A,N/A,lpcustomcountertops.com,"2QFM+HM Mansfield, Massachusetts",(774) 643-6293
LP CUSTOM COUNTERTOPS & CABINETRY,4.8,48,Countertop store,"22 S Main St, Mansfield, MA 02048",N/A,N/A,lpcustomcountertops.com,"2QFM+HM Mansfield, Massachusetts",(774) 643-6293
QKB Kitchen & Bath Design Center,1.0,N/A,Kitchen remodeler,"118 Tyler St #4222, Pittsfield, MA 01201",N/A,N/A,facebook.com,"FQ53+74 Pittsfield, Massachusetts",(413) 464-0516
Taylor True Value Rental,3.4,12,Hardware store,"7 High St, Great Barrington, MA 01230",N/A,N/A,truevalue.com,"5JXQ+C6 Great Barrington, Massachusetts",(413) 528-1770
Taylor True Value Rental,3.4,12,Hardware store,"7 High St, Great Barrington, MA 01230",N/A,N/A,truevalue.com,"5JXQ+C6 Great Barrington, Massachusetts",(413) 528-1770
Guido's Fresh Marketplace,4.6,473,Grocery store,"760 S Main St, Great Barrington, MA 01230",N/A,N/A,guidosfreshmarketplace.com,"5JHP+R4 Great Barrington, Massachusetts",(413) 528-9255
Morrison's Home Improvement,4.2,42,General contractor,"25 Pittsfield Road Rt. 7 & 20, 25 Veterans Memorial Hwy, Lenox, MA 01240",N/A,N/A,morrisonshomeimprovement.com,"9PGC+2V Lenox, Massachusetts",(413) 442-3001
Morrison's Home Improvement,4.2,42,General contractor,"25 Pittsfield Road Rt. 7 & 20, 25 Veterans Memorial Hwy, Lenox, MA 01240",N/A,N/A,morrisonshomeimprovement.com,"9PGC+2V Lenox, Massachusetts",(413) 442-3001
Marshalls,4.2,248,Department store,"354 Stockbridge Rd, Great Barrington, MA 01230",Located in: Barrington Plaza,N/A,marshalls.com,"6M65+33 Great Barrington, Massachusetts",(413) 528-1903
Goodwill Retail Store & Donation Center,4.1,95,Thrift store,"228 Stockbridge Rd, Great Barrington, MA 01230",N/A,N/A,goodwill-berkshires.org,"6M43+7J Great Barrington, Massachusetts",(413) 344-1920
