name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
CARRIER ROOFING SIDING & WINDOWS,4.9,47,Roofing contractor,"1189 School St, Webster, MA 01570",N/A,N/A,carrierroofing.com,"24GC+HW Webster, Massachusetts",(508) 287-0288
Precision Roofing,5.0,15,Roofing contractor,"133 White St, Springfield, MA 01108",N/A,N/A,N/A,"3CVR+PW Springfield, Massachusetts",(413) 930-1126
Global Roofing,4.9,66,Roofing contractor,"60 Duval Rd, Sutton, MA 01590",N/A,N/A,globalroofinginc.org,N/A,(774) 289-0563
Fitzgerald Roofing,4.9,40,Roofing contractor,"93 Osceola Ln, Longmeadow, MA 01106",N/A,N/A,fitzgeraldroofingco.com,"3C3J+23 Longmeadow, Massachusetts",(413) 734-8438
Modern Standing Seam Metal Roofing,4.9,64,Roofing contractor,"219 Whitins Rd, Sutton, MA 01590",N/A,N/A,modernssmetalroofing.com,"472R+6H Sutton, Massachusetts",(844) 230-9300
Springfield Roofing Experts,4.7,15,Roofing contractor,"58 Daviston St, Springfield, MA 01108",N/A,N/A,N/A,N/A,(413) 288-2628
Patriot Roofing & Remodeling,4.1,14,Roofing contractor,"88 Arcadia Blvd, Springfield, MA 01118",N/A,N/A,patriotroofinginc.com,"3CXW+VQ Springfield, Massachusetts",(413) 219-5569
Jenkins Roofing,5.0,3,Roofing contractor,"111 Colony Dr, Hampden, MA 01036",N/A,N/A,N/A,N/A,(413) 566-5596
