name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Nextgen Roofing,5.0,319,Roofing contractor,"1 Arch Rd Suite 11, Westfield, MA 01085",N/A,N/A,nextgen413.net,"47V6+2X Westfield, Massachusetts",(413) 613-4052
Berkshire Roofing Co LLC,4.9,42,Roofing contractor,"2 Castle Hill Rd, Stockbridge, MA 01262",N/A,N/A,bgrco.net,"7MJ5+R8 Stockbridge, Massachusetts",(413) 298-1029
SW Roofing & Gutter,N/A,N/A,Contractor,"175 Pixley Rd, Great Barrington, MA 01230",N/A,N/A,N/A,"5P8P+RJ Great Barrington, Massachusetts",(413) 528-7969
J Smegal Roofing•Gutters•Repairs,4.9,240,Roofing contractor,"449 Pittsfield Rd # 201, Lenox, MA 01240",N/A,N/A,jsmegalroofing.com,"CP2M+V7 Lenox, Massachusetts",(413) 655-7663
Peak Performance Roofing LLC,4.9,88,Roofing contractor,"1 Lovefield St, Easthampton, MA 01027",N/A,N/A,peakperformanceroofingllc.com,"78GR+FX Easthampton, Massachusetts",(413) 203-5888
Bartini Roofing Co,5.0,4,Roofing contractor,"290 Pleasant St, Lee, MA 01238",N/A,N/A,N/A,"7QQ4+MM Lee, Massachusetts",(413) 243-0570
PATRICK KELLY ROOFING AND SIDING,5.0,113,Roofing contractor,"12 Old Feeding Hills Rd, Westfield, MA 01085",N/A,N/A,patrickkellyroofing.com,"37XQ+HP Westfield, Massachusetts",(413) 568-9513
Stone Mountain Roofing LLC,5.0,42,Roofing contractor,"156 Northampton St, Easthampton, MA 01027",N/A,N/A,stonemountainroofingllc.com,"78MJ+2H Easthampton, Massachusetts",(413) 998-9010
"Adam Quenneville Roofing & Siding, Inc.",5.0,949,Roofing contractor,"160 Old Lyman Rd, South Hadley, MA 01075",N/A,N/A,1800newroof.net,"6C9P+GJ South Hadley, Massachusetts",(413) 536-5955
Dicky Matos Roofing Inc,4.7,79,Roofing contractor,"23 Hadley Mill Rd, Holyoke, MA 01040",N/A,N/A,dickymatosroofinginc.com,"6C52+VH Holyoke, Massachusetts",(413) 530-5335
Valley Roofing and Restoration,5.0,157,Roofing contractor,"143 Parker Ln, Ludlow, MA 01056",N/A,N/A,valleyroofingandrestoration.net,"5HCC+F4 Ludlow, Massachusetts",(413) 599-3556
