name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Lowe's Home Improvement,3.9,2173,Home improvement store,"1600 Boston Rd, Springfield, MA 01129",N/A,N/A,lowes.com,"4GV5+W8 Springfield, Massachusetts",(413) 543-0601
Bathrooms,4.0,N/A,Public wheelchair-accessible bathroom,"1 Old Sturbridge Village Rd, Sturbridge, MA 01566",Located in: Countryside Gallery,N/A,N/A,"4W33+XM Sturbridge, Massachusetts",N/A
Public Toilets,2.5,2,Public bathroom,"236 Rte 15, Sturbridge, MA 01566",Located in: Mobil,N/A,N/A,"3WC2+6J Sturbridge, Massachusetts",N/A
Home Outlet,4.4,77,Home improvement store,"4 Airport Rd, Dudley, MA 01571",Located in: Dudley Plaza Shopping Center,N/A,homeoutlet.com,"23VQ+34 Dudley, Massachusetts",(508) 671-9121
C.C. Remodeling LLC,5.0,N/A,Bathroom remodeler,"16 Bounty Rd, Oxford, MA 01540",N/A,N/A,N/A,"34XF+6C Oxford, Massachusetts",(774) 242-8465
The Granite Group,4.2,5,Plumbing supply store,"138 Main St, Sturbridge, MA 01566",N/A,N/A,thegranitegroup.com,"3WVJ+5X Sturbridge, Massachusetts",(774) 490-0030
Imperial Granite Countertops Inc.,4.9,124,Countertop store,"93 Schofield Ave, Dudley, MA 01571",N/A,N/A,imperialgranitecountertops.com,"24Q5+4F Dudley, Massachusetts",(508) 461-5510
Frank Webb Home - Auburn,3.8,17,Bathroom supply store,"33 Sword St, Industrial Park, Auburn, MA 01501",N/A,N/A,frankwebb.com,"65FC+52 Auburn, Massachusetts",(508) 757-7625
New England Home Cabinetry LLC,5.0,7,Kitchen remodeler,"76 Lake St, Webster, MA 01570",N/A,N/A,nehcab.com,"24XG+8R Webster, Massachusetts",(508) 344-5860
Tierney & Dalton Associates Inc,5.0,4,Plumbing supply store,"89 Cliff St, Douglas, MA 01516",N/A,N/A,tierneydalton.com,"35RC+PJ Douglas, Massachusetts",(508) 943-1500
Design Granites,4.8,20,Building materials store,"12 Wellington St, Webster, MA 01570",N/A,N/A,designgranites.com,"3427+6H Webster, Massachusetts",(508) 499-7271
Turnpike Plumbing & Heating Supply,4.8,16,Plumbing supply store,"2 Walcott St, Oxford, MA 01540",N/A,N/A,turnpikesupply.com,"448Q+H8 Oxford, Massachusetts",(508) 987-1179
Paul Woodard's Carpentry and Home Improvement,3.3,3,General contractor,"19 Brick Row, Southbridge, MA 01550",N/A,N/A,carpenterinsturbridgema.com,"3XJ4+X4 Southbridge, Massachusetts",(774) 230-8878
Solid Contracting LLC,5.0,15,General contractor,"31 Oxford Ave, Dudley, MA 01571",N/A,N/A,N/A,"3438+FC Dudley, Massachusetts",(774) 678-1965
Thomas V. Gadbois and Sons Remodeling,5.0,14,Contractor,"130 Old Webster Rd, Oxford, MA 01540",N/A,N/A,gadboisremodeling.com,"34X7+4V Oxford, Massachusetts",(508) 397-7227
Reclaimed Remodeling,5.0,N/A,Kitchen remodeler,"15 June St, Oxford, MA 01540",N/A,N/A,reclaimedremodeling.com,"445M+M4 Oxford, Massachusetts",N/A
Instyle Kitchens and Bathrooms,5.0,2,Tile contractor,"200 E Main St Unit D, Marlborough, MA 01752",N/A,N/A,N/A,"9F37+25 Marlborough, Massachusetts",(774) 203-3643
Jamison Home Construction,5.0,21,Contractor,"126 Muggett Hill Rd, Charlton, MA 01507",N/A,N/A,jhomeconstruction.com,"43M2+GV Charlton, Massachusetts",(774) 272-1838
BC Plumbing services,5.0,11,Plumber,"91 Baylies Rd, Charlton, MA 01507",N/A,N/A,N/A,"32WF+Q3 Charlton, Massachusetts",(774) 922-2331
"Above & Beyond Plumbing & Heating, Inc.",4.9,74,HVAC contractor,"15 Lower Gore Rd, Webster, MA 01570",N/A,N/A,aboveandbeyondplumbinghvac.com,"25X8+PJ Webster, Massachusetts",(508) 341-8330
Aubuchon Hardware,4.6,189,Hardware store,"487 E Main St Route 13, Southbridge, MA 01550",N/A,N/A,hardwarestore.com,"3XCR+32 Southbridge, Massachusetts",(508) 764-7500
County Line True Value Hardwar,4.6,58,Hardware store,"341 Sturbridge Rd, Brimfield, MA 01010",Located in: County Line Farms,N/A,truevalue.com,"4V63+9P Brimfield, Massachusetts",(413) 245-7507
Blanchet Plumbing,4.3,17,Plumber,"98 Worcester St, Southbridge, MA 01550",N/A,N/A,N/A,"3XJC+9M Southbridge, Massachusetts",(508) 764-6645
Surplus Warehouse,N/A,N/A,Home improvement store,"4 Airport Rd, Dudley, MA 01571",Located in: Dudley Plaza Shopping Center,N/A,bartonshome.com,"23VQ+34 Dudley, Massachusetts",(508) 671-9121
The Home Depot,4.2,928,Home improvement store,"99 Sutton Ave, Oxford, MA 01540",N/A,Open ⋅ Closes 10PMSee more hours,homedepot.com,"446X+PP Oxford, Massachusetts",(508) 987-2151
Tasse's Oil And Propane,4.4,36,HVAC contractor,"37 Hook St, Southbridge, MA 01550",N/A,N/A,tasses.com,"3XH8+3M Southbridge, Massachusetts",(508) 765-0841
Aubuchon Hardware,4.8,271,Hardware store,"118 E Main St #7, Webster, MA 01570",N/A,N/A,hardwarestore.com,"345P+C3 Webster, Massachusetts",(508) 949-2500
Central Floor Covering,4.8,20,Flooring store,"257 W Main St, Dudley, MA 01571",N/A,N/A,centralfloorcovering.com,"23PH+8V Dudley, Massachusetts",(508) 943-0724
The Home Depot,4.2,928,Home improvement store,"99 Sutton Ave, Oxford, MA 01540",N/A,Open ⋅ Closes 10PMSee more hours,homedepot.com,"446X+PP Oxford, Massachusetts",(508) 987-2151
