name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
"CDA Roofing & Siding Contractors, LLC",4.4,44,Roofing contractor,"1775 Main St, Agawam, MA 01001",N/A,N/A,cdaroofing.net,"29MM+5C Agawam, Massachusetts",(413) 786-4081
Nextgen Roofing,5.0,319,Roofing contractor,"1 Arch Rd Suite 11, Westfield, MA 01085",N/A,N/A,nextgen413.net,"47V6+2X Westfield, Massachusetts",(413) 613-4052
Fitzgerald Roofing,4.9,40,Roofing contractor,"93 Osceola Ln, Longmeadow, MA 01106",N/A,N/A,fitzgeraldroofingco.com,"3C3J+23 Longmeadow, Massachusetts",(413) 734-8438
Jenkins Roofing,5.0,3,Roofing contractor,"111 Colony Dr, Hampden, MA 01036",N/A,N/A,N/A,"2HX2+36 Hampden, Massachusetts",(413) 566-5596
Jenkins Roofing,5.0,3,Roofing contractor,"111 Colony Dr, Hampden, MA 01036",N/A,N/A,N/A,"2HX2+36 Hampden, Massachusetts",(413) 566-5596
Springfield Roofing Experts,4.7,15,Roofing contractor,"58 Daviston St, Springfield, MA 01108",N/A,N/A,N/A,"3FQ3+X5 Springfield, Massachusetts",(413) 288-2628
Expert Roofing,5.0,12,Roofing contractor,"74 Bosworth St, West Springfield, MA 01089",N/A,N/A,N/A,"39VJ+XM West Springfield, Massachusetts",(413) 288-2628
Mahan Slate Roofing Co.,5.0,3,Roofing contractor,"699 Silver St, Agawam, MA 01001",N/A,N/A,mahanslate.com,"383X+99 Agawam, Massachusetts",(800) 347-9529
Mahan Slate Roofing Co.,5.0,3,Roofing contractor,"699 Silver St, Agawam, MA 01001",N/A,N/A,mahanslate.com,"383X+99 Agawam, Massachusetts",(800) 347-9529
