name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Carpet One Scotts,4.6,34,Flooring store,"1571 East St, Pittsfield, MA 01201",N/A,N/A,scottscarpetonepittsfield.com,"FQ3Q+XR Pittsfield, Massachusetts",(413) 443-7434
Oak Hill Wood Floors,4.4,7,Flooring contractor,"31 Worthen St, Pittsfield, MA 01201",N/A,N/A,N/A,"FQF6+WQ Pittsfield, Massachusetts",(413) 499-6339
Thomas Floor Sanding Co,5.0,N/A,Flooring store,"27 Hillcrest Ave, Pittsfield, MA 01201",N/A,N/A,N/A,"CPQ9+8X Pittsfield, Massachusetts",(413) 443-1061
The Home Depot,3.9,809,Home improvement store,"555 Hubbard Ave, Pittsfield, MA 01201",N/A,Closed ⋅ Opens 6AMSee more hours,homedepot.com,"FR72+Q5 Pittsfield, Massachusetts",(413) 445-9901
Elite Crete Systems East,5.0,7,Flooring store,"1400 East St suite b, Pittsfield, MA 01201",Located in: Granite City Electric Supply,N/A,elitecrete.com,"FQ3J+GQ Pittsfield, Massachusetts",(413) 442-0797
Gale Floor Covering,1.0,N/A,Flooring contractor,"28 E View Dr, Cheshire, MA 01225",N/A,N/A,galefloorcovering.com,"HVP4+82 Cheshire, Massachusetts",(413) 884-2578
Sandman Floor Sanding,1.0,N/A,Flooring store,"300 Barker Rd, Pittsfield, MA 01201",N/A,N/A,thesandmanflooringma.com,"CPP8+4W Pittsfield, Massachusetts",(413) 442-0398
The Floor Store,4.8,18,Flooring store,"12 Main St, West Stockbridge, MA 01266",N/A,N/A,floorstoreweststockbridge.com,"8JMM+M2 West Stockbridge, Massachusetts",(413) 232-7175
Jean Claude Hardwood Floor Services,4.0,4,Flooring contractor,"9 Pearl St, Adams, MA 01220",N/A,N/A,N/A,"JV7F+3H Adams, Massachusetts",(413) 743-4904
Shea Floor By Design,N/A,N/A,Carpet store,"188 Wahconah St, Pittsfield, MA 01201",N/A,N/A,N/A,"FP7X+J3 Pittsfield, Massachusetts",(413) 447-7048
JRS Home Improvement,5.0,2,Home improvement store,"20 Pleasure Ave, Pittsfield, MA 01201",N/A,N/A,N/A,"FQ54+H2 Pittsfield, Massachusetts",(413) 443-2685
A C Wood Contracting Inc,4.9,65,Home builder,"545 S Main St Suite 5, Lanesborough, MA 01237",Located in: South Main Plaza,N/A,acwoodcontracting.com,"GQ27+74 Lanesborough, Massachusetts",(413) 499-9905
A C Wood Contracting Inc,4.9,65,Home builder,"545 S Main St Suite 5, Lanesborough, MA 01237",Located in: South Main Plaza,N/A,acwoodcontracting.com,"GQ27+74 Lanesborough, Massachusetts",(413) 499-9905
Carr Hardware,4.4,237,Hardware store,"547 North St, Pittsfield, MA 01201",N/A,N/A,carrhardware.com,"FP4X+G8 Pittsfield, Massachusetts",(413) 443-5611
Carr Hardware,4.4,237,Hardware store,"547 North St, Pittsfield, MA 01201",N/A,N/A,carrhardware.com,"FP4X+G8 Pittsfield, Massachusetts",(413) 443-5611
Floor Works,3.0,2,Flooring contractor,"49 Osceola Rd, Richmond, MA 01254",N/A,N/A,floorworksberkshire.com,"9MX9+6Q Richmond, Massachusetts",(413) 822-8699
Ireland Home Improvement,3.8,5,Contractor,"97 Acorn St, Pittsfield, MA 01201",N/A,N/A,N/A,"FP7M+FV Pittsfield, Massachusetts",(413) 329-0804
"Z&C Floors, Inc.",5.0,2,Flooring contractor,"30 Stockbridge Rd, Great Barrington, MA 01230",Located in: Sinopoli Insurance Agency,N/A,zcfloors.com,"6M22+MX Great Barrington, Massachusetts",(413) 429-1634
"David Messer Home Improvement, LLC",5.0,7,Contractor,"31 Whittier Ave, Pittsfield, MA 01201",N/A,N/A,messerhi.com,"CQM6+XR Pittsfield, Massachusetts",(413) 841-7410
Dettinger Lumber Co Inc,4.7,30,Hardware store,"24 Warren Terrace, Pittsfield, MA 01201",N/A,N/A,dettingerlumber.com,"CPJV+M6 Pittsfield, Massachusetts",(413) 442-6916
Dettinger Lumber Co Inc,4.7,30,Hardware store,"24 Warren Terrace, Pittsfield, MA 01201",N/A,N/A,dettingerlumber.com,"CPJV+M6 Pittsfield, Massachusetts",(413) 442-6916
Dettinger Lumber Co Inc,4.7,30,Hardware store,"24 Warren Terrace, Pittsfield, MA 01201",N/A,N/A,dettingerlumber.com,"CPJV+M6 Pittsfield, Massachusetts",(518) 434-0155
J.L.S. Remodeling & Renovations,3.1,7,Remodeler,"212 Fenn St, Pittsfield, MA 01201",N/A,Closed ⋅ Opens 8AMSee more hours,N/A,"CQX2+J9 Pittsfield, Massachusetts",(413) 445-1252
J.L.S. Remodeling & Renovations,3.1,7,Remodeler,"212 Fenn St, Pittsfield, MA 01201",N/A,Closed ⋅ Opens 8AMSee more hours,N/A,"CQX2+J9 Pittsfield, Massachusetts",(413) 445-1252
Standard Furniture & Mattress,4.8,53,Furniture store,"66 Summer St, Adams, MA 01220",N/A,N/A,shopstandardfurniture.com,"JVFP+35 Adams, Massachusetts",(413) 743-0960
Tractor Supply Co.,4.4,284,Animal feed store,"898 Crane Ave, Pittsfield, MA 01201",Located in: Allendale,N/A,tractorsupply.com,"FQ9V+2C Pittsfield, Massachusetts",(413) 236-5871
Tractor Supply Co.,4.4,284,Animal feed store,"898 Crane Ave, Pittsfield, MA 01201",Located in: Allendale,N/A,tractorsupply.com,"FQ9V+2C Pittsfield, Massachusetts",(413) 236-5871
Annie Selke Outlet,4.4,27,Linens store,"125 Pecks Rd, Pittsfield, MA 01201",N/A,N/A,annieselke.com,"FP9V+F4 Pittsfield, Massachusetts",(413) 629-2314
Paul Rich & Sons Home Furnishings + Design,4.3,27,Furniture store,"242 North St, Pittsfield, MA 01201",N/A,N/A,paulrich.com,"FP2X+R2 Pittsfield, Massachusetts",(413) 443-6467
Berkshire Carpet Inc,N/A,N/A,Flooring store,"441 Curran Hwy, North Adams, MA 01247",N/A,N/A,N/A,"MVQQ+CG North Adams, Massachusetts",(413) 663-7649
"Berkshire Home Pros, Inc",4.6,11,General contractor,"1023 South St, Dalton, MA 01226",N/A,N/A,berkshirehomepros.com,"FR37+GV Dalton, Massachusetts",(413) 822-2131
"Berkshire Home Pros, Inc",4.6,11,General contractor,"1023 South St, Dalton, MA 01226",N/A,N/A,berkshirehomepros.com,"FR37+GV Dalton, Massachusetts",(413) 822-2131
Gleb Home Improvement,5.0,5,Contractor,"115 Kimberly Dr, Dalton, MA 01226",N/A,N/A,facebook.com,"FR7H+GM Dalton, Massachusetts",(413) 212-6859
The Floor Store Warehouse (Deliveries & Pickups),N/A,N/A,Flooring store,"186 Great Barrington Rd, West Stockbridge, MA 01236",N/A,N/A,floorstoreweststockbridge.com,"7JVF+M4 West Stockbridge, Massachusetts",(413) 232-7175
Daunais Building & Remodeling,5.0,N/A,Contractor,"64 Velma Ave, Pittsfield, MA 01201",N/A,N/A,daunaisbuilders.com,"CPPM+FQ Pittsfield, Massachusetts",(413) 441-4049
RIBCO Supply,4.8,6,Construction material wholesaler,"537 Dalton Ave, Pittsfield, MA 01201",N/A,N/A,ribcosupply.com,"FQ8Q+2J Pittsfield, Massachusetts",(413) 997-4010
Ethier Home Improvement,N/A,N/A,General contractor,"23 Chamberlain Ave, Dalton, MA 01226",N/A,N/A,N/A,"FRCV+XW Dalton, Massachusetts",(413) 358-2069
Ethier Home Improvement,N/A,N/A,General contractor,"23 Chamberlain Ave, Dalton, MA 01226",N/A,N/A,N/A,"FRCV+XW Dalton, Massachusetts",(413) 358-2069
Home Services at The Home Depot,3.3,4,Contractor,"555 Hubbard Ave, Pittsfield, MA 01201",Located in: The Home Depot,N/A,homedepot.com,"FR72+Q5 Pittsfield, Massachusetts",(844) 476-2140
Central Berkshire Habitat ReStore,4.3,108,Thrift store,"399 Hubbard Ave, Pittsfield, MA 01201",N/A,N/A,berkshirerestore.org,"FR66+J3 Pittsfield, Massachusetts",(413) 443-2106
