name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Lowe's Home Improvement,4.0,1257,Home improvement store,"55 Faunce Corner Mall Rd N, Dartmouth, MA 02747",N/A,N/A,lowes.com,"J2V8+J2 Dartmouth, Massachusetts",(508) 441-5284
Spectrum Tile & Carpet,4.9,119,Flooring store,"455 William S Canning Blvd, Fall River, MA 02721",N/A,N/A,spectrumtileandcarpets.com,"MRCP+JR Fall River, Massachusetts",(508) 837-6022
Garcia Imported Tile Co Inc,4.7,18,Tile store,"410 Main St, Fairhaven, MA 02719",N/A,N/A,garciatile.com,"M36R+FH Fairhaven, Massachusetts",(508) 991-4455
TileCraft,4.2,17,Flooring store,"21 Arsene Way, Fairhaven, MA 02719",N/A,N/A,tilecraftpro.com,"J4RF+C6 Fairhaven, Massachusetts",(508) 999-0988
CarpetsPlus Colortile,4.7,41,Flooring store,"1157 County St, Somerset, MA 02726",N/A,N/A,carpetsplusma.com,"PVX4+M8 Somerset, Massachusetts",(508) 673-9562
The Tile Girl Flooring,5.0,8,Flooring contractor,"125A Faunce Corner Rd, North Dartmouth, MA 02747",N/A,N/A,thetilegirlflooring.com,"J2X7+P4 North Dartmouth, Dartmouth, MA",(774) 255-7410
"New Bedford Tile & Carpet, Inc.",5.0,5,Flooring store,"6 McCabe St, South Dartmouth, MA 02748",N/A,N/A,newbedfordtilecarpet.com,"J385+FH South Dartmouth, Dartmouth, MA",(508) 998-3695
New Bedford Tile Contractors,N/A,N/A,Tile contractor,"1565 Acushnet Ave, New Bedford, MA 02746",N/A,N/A,N/A,"M37C+8G New Bedford, Massachusetts",(508) 905-6207
Crown Tile Inc,N/A,N/A,Tile contractor,"657 Quarry St, Fall River, MA 02723",N/A,N/A,N/A,"MVR6+23 Fall River, Massachusetts",(774) 294-5400
Tile Source,5.0,N/A,Tile contractor,"191 Popes Island, New Bedford, MA 02740",N/A,N/A,yourtilesource.com,"J3RM+7P New Bedford, Massachusetts",(508) 628-0908
Wholesale Flooring,5.0,69,Flooring store,"5 Probber Ln #3, Fall River, MA 02720",N/A,N/A,wholesaleflooringonline.com,"PVG3+PG Fall River, Massachusetts",(508) 646-0995
South Coast Flooring,5.0,6,Flooring store,"111 Forge Rd, Westport, MA 02790",N/A,N/A,southcoastflooringinc.com,"JWQW+76 Westport, Massachusetts",(508) 536-3242
FAB Flooring INC,4.3,11,Flooring store,"1068 Slade St, Fall River, MA 02724",Located in: KAM Realty,N/A,fabflooring.net,"MRMM+P6 Fall River, Massachusetts",(508) 617-4120
Julio Riasco & Sons,5.0,2,Tile contractor,"534 Weetamoe St, Fall River, MA 02720",N/A,N/A,facebook.com,"PV86+XP Fall River, Massachusetts",(774) 224-4464
Picard Tiling Co,5.0,2,Tile contractor,"339 Sconticut Neck Rd, Fairhaven, MA 02719",N/A,N/A,N/A,"J4CP+J2 Fairhaven, Massachusetts",(508) 992-2277
Picard Tiling Co,5.0,2,Tile contractor,"339 Sconticut Neck Rd, Fairhaven, MA 02719",N/A,N/A,N/A,"J4CP+J2 Fairhaven, Massachusetts",(508) 992-2277
T Le Blanc & Sons,5.0,N/A,Flooring store,"509 Highland Ave North, Dartmouth, MA 02747",N/A,N/A,N/A,"MW8P+FX Dartmouth, Massachusetts",(508) 995-6221
GPS Tile and More,5.0,4,Contractor,"6 Roosevelt St, Acushnet, MA 02743",N/A,N/A,N/A,"M3JR+JC Acushnet, Massachusetts",(508) 728-9498
KB Carpet & Tile,5.0,N/A,Flooring contractor,"405 Huttleston Ave, Fairhaven, MA 02719",N/A,N/A,N/A,"M42X+JG Fairhaven, Massachusetts",(508) 538-1062
ARD Tile Carpet & Vinyl Co Inc.,5.0,N/A,Carpet store,"1609 Acushnet Ave, New Bedford, MA 02746",N/A,N/A,N/A,"M37C+PF New Bedford, Massachusetts",(508) 996-0332
Regal Floor Covering,4.4,18,Flooring store,"2137 S Main St, Fall River, MA 02724",N/A,N/A,regalfloor.com,"MRHC+P9 Fall River, Massachusetts",(508) 679-6401
J&B Tile/Home Improvement,N/A,N/A,Contractor,"1557 Robeson St, Fall River, MA 02720",N/A,N/A,myjbtile.com,"PVC7+56 Fall River, Massachusetts",(508) 326-8083
New Bedford Floor Covering Inc,4.7,16,Carpet store,"455 Union St, New Bedford, MA 02740",N/A,N/A,N/A,"J3M6+7P New Bedford, Massachusetts",(508) 996-0103
Floor & Decor,4.3,507,Flooring store,"80 Stockwell Dr, Avon, MA 02322",N/A,Closes soon ⋅ 8PM ⋅ Opens 7AM WedSee more hours,flooranddecor.com,"4WMM+3F Avon, Massachusetts",(508) 513-1434
Tile Installations,1.0,N/A,Tile contractor,"18 Shannon Way, Dartmouth, MA 02747",N/A,N/A,N/A,"MXR3+5M Dartmouth, Massachusetts",(508) 674-2525
Dan's Tile,N/A,N/A,Tile contractor,"New Bedford, MA 02740",N/A,N/A,N/A,"J3Q7+66 New Bedford, Massachusetts",(508) 264-7959
Home Outlet,4.1,88,Home improvement store,"1024 Kings Hwy, New Bedford, MA 02745",N/A,N/A,homeoutlet.com,"M3G5+FQ New Bedford, Massachusetts",(508) 994-4399
Spectrum Tile and Carpet,N/A,N/A,Flooring store,"288 Plymouth Ave, Fall River, MA 02721",N/A,N/A,spectrumtileandcarpets.com,"MVW2+64 Fall River, Massachusetts",(508) 837-6022
Blackwell Floor Covering & Designs,5.0,42,Flooring contractor,"10 Anderson Dr, Dighton, MA 02715",N/A,N/A,blackwellfloorcovering.com,"RR3M+9H Dighton, Massachusetts",(774) 644-9258
Garcia Imported Tile Co,4.3,34,Tile store,"425 1/2 Winthrop St, Taunton, MA 02780",N/A,N/A,garciatile.com,N/A,(508) 824-2868
THOMPSON.QUALITY TILE INSTALLATION,N/A,N/A,Tile contractor,"12 Anthony St, Fall River, MA 02721",N/A,N/A,N/A,"MRFQ+WH Fall River, Massachusetts",(617) 832-5058
Quality Pro Tile Services Inc,5.0,4,Contractor,"39 Claflin St, Fall River, MA 02723",N/A,N/A,qualityprotileservices.com,"MVQ8+V7 Fall River, Massachusetts",(339) 338-8188
Belanger & Son's Floor Srfcng,4.3,3,Flooring store,"179 Tickle Rd, Westport, MA 02790",N/A,N/A,N/A,"JVRG+7C Westport, Massachusetts",(508) 678-0748
Morency Floors,4.8,25,Flooring store,"1440 Purchase St, New Bedford, MA 02740",N/A,N/A,morencyflooring.com,N/A,(508) 994-3111
The Home Depot,4.1,1171,Garden center,"470 State Rd, North Dartmouth, MA 02747",N/A,Open ⋅ Closes 10PMSee more hours,homedepot.com,"JXVX+9H North Dartmouth, Dartmouth, MA",(508) 997-9600
The Home Depot,4.0,1384,Home improvement store,"535 Grand Army of the Republic Hwy, Somerset, MA 02726",N/A,Open ⋅ Closes 10PMSee more hours,homedepot.com,"PRHJ+4V Somerset, Massachusetts",(508) 646-9053
