name,rating,reviews_count,category,address,location,hours,website,plus_code,phone
Home Outlet,4.5,65,Home improvement store,"685 Boston Rd Suite 160, Springfield, MA 01119",Located in: 711 Boston Road Mall Shopping Center,N/A,homeoutlet.com,"4FMH+HF Springfield, Massachusetts",(413) 782-8664
J&J GRANITE INC,4.9,32,Countertop store,"940 Boston Rd, Springfield, MA 01119",N/A,N/A,jjgranitema.com,"4FQP+7P Springfield, Massachusetts",(774) 578-8781
Granite Creations,4.5,22,Granite supplier,"2376 Boston Rd, Wilbraham, MA 01095",N/A,N/A,granitecreationsma.com,"5G2W+57 Wilbraham, Massachusetts",(413) 596-3144
Dominguez Stoneworks,5.0,79,Countertop store,"6 Old Palmer Rd, Brimfield, MA 01010",N/A,N/A,dominguezstoneworks.com,"4PCX+JR Brimfield, Massachusetts",(413) 245-1508
Countertops Unlimited,4.2,5,Countertop store,"311r West St, Ludlow, MA 01056",N/A,N/A,N/A,"5FJV+35 Ludlow, Massachusetts",(413) 750-8352
Countertops Unlimited,4.2,5,Countertop store,"311r West St, Ludlow, MA 01056",N/A,N/A,N/A,"5FJV+35 Ludlow, Massachusetts",(413) 750-8352
Bannon & Ferrari Granite,5.0,66,Granite supplier,"874 Berkshire Ave, Indian Orchard, MA 01151",N/A,N/A,bannonferrarigranite.com,"4FVG+8P Indian Orchard, Springfield, MA",(413) 543-5231
D & C Granite & Marble,5.0,9,Granite supplier,"664 Center St, Ludlow, MA 01056",N/A,N/A,dcgraniteandmarble.net,"5GJJ+84 Ludlow, Massachusetts",(413) 583-3399
Northern Granite and Marble,5.0,48,Countertop store,"380 Union St Unit 49, West Springfield, MA 01089",N/A,N/A,northerngranitema.com,"492J+9R West Springfield, Massachusetts",(413) 737-8700
Santo C. DeSpirt Marble & Granite,4.9,45,Granite supplier,"44 N Ramah Cir, Agawam, MA 01001",N/A,N/A,santocdespirt.com,"39P9+W7 Agawam, Massachusetts",(413) 786-7073
Ideal Kitchens Home Improvement Inc,4.5,63,Bathroom remodeler,"838 Grattan St, Chicopee, MA 01020",N/A,N/A,idealkitchens.us,"59GX+XF Chicopee, Massachusetts",(413) 532-2253
Express Kitchens: Springfield,4.3,23,Cabinet store,"1780 Boston Rd, Springfield, MA 01129",N/A,N/A,expresskitchens.com,"4GW8+66 Springfield, Massachusetts",(413) 372-8696
